unit_id,source_row,speaker,time,claim_index,translation_backend,korean_text,english_text,value,value_slug,presence,attained,constrained,direction,signed,support_01,constraint_01
row004_claim01,4,정의당,00:50,1,openai,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Self-direction: thought,self_direction_thought,0.0005298329051584005,0.07079655677080154,0.929203450679779,-0.8584068939089775,-0.00045481221840779247,0.0,0.00045481221840779247
row004_claim01,4,정의당,00:50,1,openai,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Self-direction: action,self_direction_action,0.0008136864053085446,0.06489098817110062,0.9351090788841248,-0.8702180907130241,-0.0007080846300667456,0.0,0.0007080846300667456
row004_claim01,4,정의당,00:50,1,openai,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Stimulation,stimulation,0.00127660040743649,0.0354134663939476,0.9645865559577942,-0.9291730895638466,-0.0011861827447162288,0.0,0.0011861827447162288
row004_claim01,4,정의당,00:50,1,openai,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Hedonism,hedonism,0.000501418428029865,0.03347523510456085,0.9665247797966003,-0.9330495446920395,-0.00046784823597346373,0.0,0.00046784823597346373
row004_claim01,4,정의당,00:50,1,openai,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Achievement,achievement,0.0007886952953413129,0.03257816657423973,0.9674218893051147,-0.934843722730875,-0.0007373068459971999,0.0,0.0007373068459971999
row004_claim01,4,정의당,00:50,1,openai,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Power: dominance,power_dominance,0.0006411756039597094,0.05761067196726799,0.9423893094062805,-0.8847786374390125,-0.0005672984772306076,0.0,0.0005672984772306076
row004_claim01,4,정의당,00:50,1,openai,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Power: resources,power_resources,0.0011641662567853928,0.035082511603832245,0.9649175405502319,-0.9298350289463997,-0.0010824825650764675,0.0,0.0010824825650764675
row004_claim01,4,정의당,00:50,1,openai,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Face,face,0.00010926616232609376,0.032002463936805725,0.9679976105690002,-0.9359951466321945,-0.0001022725976283493,0.0,0.0001022725976283493
row004_claim01,4,정의당,00:50,1,openai,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Security: personal,security_personal,0.003176735946908593,0.02520441636443138,0.9747955799102783,-0.9495911635458469,-0.003016600384102849,0.0,0.003016600384102849
row004_claim01,4,정의당,00:50,1,openai,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Security: societal,security_societal,0.7559234499931335,0.025861291214823723,0.9741386771202087,-0.948277385905385,-0.7168251131040687,0.0,0.7168251131040687
row004_claim01,4,정의당,00:50,1,openai,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Tradition,tradition,0.0019582598470151424,0.03267049789428711,0.9673295021057129,-0.9346590042114258,-0.001830305198598392,0.0,0.001830305198598392
