sample_id,expected_primary,expected_direction,value,presence,attained,constrained,support_01,constrain_01,signed,text
benevolence,BENEVOLENCE,support,Self-direction: thought,0.0005680323229171336,0.9493828415870667,0.05061716213822365,0.0005392801408443705,2.8752184188848362e-05,0.0005105279566555221,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Self-direction: action,0.00168792181648314,0.9472349882125854,0.05276503786444664,0.001598858601940173,8.906325855895843e-05,0.0015097953433812145,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Stimulation,0.0009778346866369247,0.9523215293884277,0.04767841845750809,0.0009312130242671302,4.662161137174159e-05,0.0008845914128953886,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Hedonism,0.00014287367230281234,0.9505224823951721,0.049477577209472656,0.00013580463766618353,7.069043152563292e-06,0.00012873559451362024,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Achievement,0.0008980552665889263,0.9479888081550598,0.05201112851500511,0.0008513463418310108,4.670886788413382e-05,0.0008046374739468769,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Power: dominance,0.0009758640662766993,0.9616221785545349,0.038377806544303894,0.0009384125293860866,3.745152234910492e-05,0.0009009610070369817,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Power: resources,0.002275702776387334,0.9522705078125,0.04772953316569328,0.0021670846385006826,0.00010861823114083954,0.002058466407359843,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Face,0.00015557624283246696,0.9471970200538635,0.052803028374910355,0.00014736135360208895,8.214896764744697e-06,0.00013914645683734425,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Security: personal,0.005921972915530205,0.9314458966255188,0.0685541108250618,0.005515997372098069,0.000405975587554272,0.005110021784543797,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Security: societal,0.025776121765375137,0.9495357275009155,0.050464242696762085,0.024475348532637664,0.0013007724645491825,0.02317457606808848,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Tradition,0.0001978066429728642,0.9484419822692871,0.05155797675251961,0.00018760812456721648,1.0198510299888879e-05,0.0001774096142673276,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Conformity: rules,0.0012110444949939847,0.9527405500411987,0.04725947231054306,0.0011538111982849347,5.7233323778003824e-05,0.001096577874506931,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Conformity: interpersonal,0.0005152504309080541,0.9295734167098999,0.07042662054300308,0.0004789631035204481,3.6287346582180354e-05,0.0004426757569382677,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Humility,0.00015412908396683633,0.9532489776611328,0.046751003712415695,0.00014692339171923363,7.205689376724796e-06,0.00013971770234250884,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Benevolence: caring,0.14947743713855743,0.9622312784194946,0.03776879236102104,0.14383186543270376,0.005645582285943751,0.13818628314676001,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Benevolence: dependability,0.0038650596980005503,0.9547808170318604,0.045219194144010544,0.003690284856333881,0.00017477488486207764,0.003515509971471803,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Universalism: concern,0.935941219329834,0.9545477628707886,0.045452192425727844,0.8934005970898511,0.04254058040014996,0.8508600166897011,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Universalism: nature,0.0013375290436670184,0.9519867300987244,0.04801332950592041,0.0012733099006926388,6.421922269732316e-05,0.0012090906779953156,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,BENEVOLENCE,support,Universalism: tolerance,0.0011119265109300613,0.9419198036193848,0.05808015540242195,0.001047345600814431,6.458086455089079e-05,0.0009827647362635403,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
universalism,UNIVERSALISM,support,Self-direction: thought,0.0018518769647926092,0.9928938746452332,0.007106155157089233,0.0018387172949391878,1.3159725043655757e-05,0.001825557569895532,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,UNIVERSALISM,support,Self-direction: action,0.0025945641100406647,0.992489755153656,0.00751025415956974,0.0025750782983047227,1.9485835899703263e-05,0.0025555924624050194,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,UNIVERSALISM,support,Stimulation,0.0034878847654908895,0.9925472140312195,0.007452794350683689,0.0034618903068499157,2.5994487876086205e-05,0.0034358958189738293,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
