sample_id,language,expected_primary,expected_direction,text,model,label_space,expected_model_label,expected_score,top_label,top_score,top3,score_Self-direction: thought,score_Self-direction: action,score_Stimulation,score_Hedonism,score_Achievement,score_Power: dominance,score_Power: resources,score_Face,score_Security: personal,score_Security: societal,score_Tradition,score_Conformity: rules,score_Conformity: interpersonal,score_Humility,score_Benevolence: caring,score_Benevolence: dependability,score_Universalism: concern,score_Universalism: nature,score_Universalism: tolerance
benevolence,en,BENEVOLENCE,support,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone.",VictorYeste/human-value-detection-deberta-liwc-22,valueeval24_19_dummy_liwc,,,Universalism: concern,0.9237686395645142,"Universalism: concern:0.924, Benevolence: caring:0.295, Security: societal:0.178",0.004418766126036644,0.009396721608936787,0.010514396242797375,0.008176769129931927,0.005836692173033953,0.016793690621852875,0.029394710436463356,0.00603119470179081,0.06326145678758621,0.17820870876312256,0.0020582773722708225,0.02255667746067047,0.021482450887560844,0.0041563683189451694,0.29506710171699524,0.04564131423830986,0.9237686395645142,0.02291972003877163,0.007285231724381447
benevolence,ko,BENEVOLENCE,support,이번 예산에서는 가장 큰 피해를 입을 주민들을 먼저 보호하고 누구도 혼자 남겨지지 않게 해야 합니다.,VictorYeste/human-value-detection-deberta-liwc-22,valueeval24_19_dummy_liwc,,,Power: resources,0.029104923829436302,"Power: resources:0.029, Conformity: rules:0.026, Power: dominance:0.026",0.008494455367326736,0.007668428588658571,0.010019670240581036,0.009061106480658054,0.010078638792037964,0.02601553127169609,0.029104923829436302,0.010991006158292294,0.005894158035516739,0.014102192595601082,0.007933507673442364,0.026095977053046227,0.009730699472129345,0.0031905868090689182,0.009215258993208408,0.008871128782629967,0.005834667012095451,0.006428124383091927,0.003891091328114271
universalism,en,UNIVERSALISM,support,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share.",VictorYeste/human-value-detection-deberta-liwc-22,valueeval24_19_dummy_liwc,,,Universalism: nature,0.9890401363372803,"Universalism: nature:0.989, Universalism: concern:0.507, Benevolence: caring:0.067",0.008625157177448273,0.005602912046015263,0.0526108480989933,0.02207958698272705,0.015057246200740337,0.029805032536387444,0.009701639413833618,0.0061268070712685585,0.020149150863289833,0.010561008006334305,0.014232410117983818,0.018401289358735085,0.019048921763896942,0.008341231383383274,0.06712808459997177,0.03795824572443962,0.5073344111442566,0.9890401363372803,0.04363004490733147
universalism,ko,UNIVERSALISM,support,"이 정책은 이주민, 장애 시민, 지역 주민을 동등한 존엄성으로 대하고 모두가 공유하는 환경을 보호해야 합니다.",VictorYeste/human-value-detection-deberta-liwc-22,valueeval24_19_dummy_liwc,,,Power: dominance,0.03087068721652031,"Power: dominance:0.031, Conformity: rules:0.027, Power: resources:0.024",0.008758754469454288,0.0077818394638597965,0.00801755115389824,0.008567499928176403,0.008752530440688133,0.03087068721652031,0.02407795563340187,0.009033357724547386,0.004992283880710602,0.009013274684548378,0.0062647620216012,0.026721017435193062,0.008808343671262264,0.0037557953037321568,0.009755625389516354,0.008481986820697784,0.005067578051239252,0.007200370542705059,0.004064617212861776
self_direction,en,SELF-DIRECTION,support,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.,VictorYeste/human-value-detection-deberta-liwc-22,valueeval24_19_dummy_liwc,,,Self-direction: action,0.9694181680679321,"Self-direction: action:0.969, Self-direction: thought:0.613, Stimulation:0.095",0.6125609874725342,0.9694181680679321,0.09506332874298096,0.017422474920749664,0.004262676928192377,0.01781560108065605,0.010679374448955059,0.005944139789789915,0.027095014229416847,0.025022512301802635,0.05069228634238243,0.015365991741418839,0.04958265274763107,0.006506405305117369,0.018607445061206818,0.01623571664094925,0.025795884430408478,0.023632388561964035,0.06845470517873764
self_direction,ko,SELF-DIRECTION,support,각 동네가 하나의 중앙 계획을 강요받기보다 스스로 해법을 설계할 수 있어야 합니다.,VictorYeste/human-value-detection-deberta-liwc-22,valueeval24_19_dummy_liwc,,,Power: dominance,0.03157277777791023,"Power: dominance:0.032, Power: resources:0.027, Conformity: rules:0.025",0.006269489414989948,0.006959605496376753,0.009549688547849655,0.0062650591135025024,0.008722641505300999,0.03157277777791023,0.027460681274533272,0.006597205065190792,0.00523374741896987,0.011268729344010353,0.008327110670506954,0.025480074808001518,0.010422468185424805,0.0030619725584983826,0.009283924475312233,0.011352885514497757,0.005667531862854958,0.006936089135706425,0.0026316677685827017
stimulation,en,STIMULATION,support,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.,VictorYeste/human-value-detection-deberta-liwc-22,valueeval24_19_dummy_liwc,,,Stimulation,0.9217343926429749,"Stimulation:0.922, Self-direction: action:0.125, Self-direction: thought:0.111",0.1110672727227211,0.1254357397556305,0.9217343926429749,0.0046057431027293205,0.017549090087413788,0.00910471472889185,0.002421110635623336,0.0075477235950529575,0.016427723690867424,0.08668970316648483,0.00427229143679142,0.004073224030435085,0.014894925989210606,0.007265177555382252,0.004923781380057335,0.006964049302041531,0.019817514345049858,0.0072106001898646355,0.005855492781847715
stimulation,ko,STIMULATION,support,현재 절차는 너무 예측 가능해서 새로운 기회를 드러내지 못하니 과감한 시범 사업을 실험해야 합니다.,VictorYeste/human-value-detection-deberta-liwc-22,valueeval24_19_dummy_liwc,,,Conformity: rules,0.03068062849342823,"Conformity: rules:0.031, Power: dominance:0.026, Power: resources:0.026",0.006867093965411186,0.0073465327732264996,0.01158810593187809,0.008432694710791111,0.009370419196784496,0.026403648778796196,0.0263097882270813,0.008606242015957832,0.0044109635055065155,0.01414136029779911,0.010375072248280048,0.03068062849342823,0.010170713998377323,0.0034866484347730875,0.01020692940801382,0.013341119512915611,0.005329469684511423,0.0080140745267272,0.003418071661144495
hedonism,en,HEDONISM,support,"The public space should also be enjoyable, with music, food, and places where people can relax after work.",VictorYeste/human-value-detection-deberta-liwc-22,valueeval24_19_dummy_liwc,,,Hedonism,0.9956191182136536,"Hedonism:0.996, Stimulation:0.334, Security: personal:0.161",0.034954674541950226,0.06788797676563263,0.33432331681251526,0.9956191182136536,0.009930332191288471,0.013441766612231731,0.016430897638201714,0.024436356499791145,0.16079343855381012,0.02020992524921894,0.02881535515189171,0.01892741024494171,0.045940954238176346,0.08027452230453491,0.06422111392021179,0.019972743466496468,0.009670372121036053,0.027042629197239876,0.0430099219083786
hedonism,ko,HEDONISM,support,공공 공간은 퇴근 후 사람들이 쉬고 음악과 음식을 즐길 수 있는 즐거운 장소이기도 해야 합니다.,VictorYeste/human-value-detection-deberta-liwc-22,valueeval24_19_dummy_liwc,,,Power: dominance,0.03563721477985382,"Power: dominance:0.036, Power: resources:0.033, Conformity: rules:0.031",0.008213802240788937,0.0093672601506114,0.010544278658926487,0.006563427858054638,0.01181459054350853,0.03563721477985382,0.033473480492830276,0.0111998924985528,0.006026129238307476,0.017375729978084564,0.012268259190022945,0.031000521034002304,0.01231391541659832,0.003941642120480537,0.011828694492578506,0.014410489238798618,0.007471611723303795,0.0072694988921284676,0.003870528656989336
