sample_id,language,expected_primary,expected_direction,expected_score,top_value,top_score,top3,bottom3,text,BENEVOLENCE,UNIVERSALISM,SELF-DIRECTION,STIMULATION,HEDONISM,ACHIEVEMENT,POWER,SECURITY,CONFORMITY,TRADITION
benevolence,en,BENEVOLENCE,support,0.9991419911384583,UNIVERSALISM,0.9991973638534546,"UNIVERSALISM:+0.999, BENEVOLENCE:+0.999, SECURITY:+0.999","HEDONISM:+0.033, SELF-DIRECTION:+0.746, TRADITION:+0.989","In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone.",0.9991419911384583,0.9991973638534546,0.7456970810890198,0.9954199194908142,0.03321710228919983,0.9983869791030884,0.9970616698265076,0.9991292357444763,0.9950843453407288,0.9888982772827148
benevolence,ko,BENEVOLENCE,support,0.9971810579299927,SECURITY,0.9986535906791687,"SECURITY:+0.999, UNIVERSALISM:+0.998, BENEVOLENCE:+0.997","SELF-DIRECTION:-0.843, HEDONISM:-0.005, TRADITION:+0.447",이번 예산에서는 가장 큰 피해를 입을 주민들을 먼저 보호하고 누구도 혼자 남겨지지 않게 해야 합니다.,0.9971810579299927,0.997862696647644,-0.8425305485725403,0.9902498722076416,-0.00465938076376915,0.49311068654060364,0.9596521258354187,0.9986535906791687,0.9953160881996155,0.44710397720336914
universalism,en,UNIVERSALISM,support,0.9982112050056458,BENEVOLENCE,0.9987470507621765,"BENEVOLENCE:+0.999, SECURITY:+0.999, CONFORMITY:+0.999","SELF-DIRECTION:-0.011, HEDONISM:+0.003, STIMULATION:+0.005","The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share.",0.9987470507621765,0.9982112050056458,-0.01125369779765606,0.004828726407140493,0.002948029665276408,0.9583870768547058,0.9909868836402893,0.9987443685531616,0.9986356496810913,0.9912307262420654
universalism,ko,UNIVERSALISM,support,0.9988446235656738,STIMULATION,0.9989937543869019,"STIMULATION:+0.999, SECURITY:+0.999, UNIVERSALISM:+0.999","SELF-DIRECTION:+0.895, HEDONISM:+0.993, ACHIEVEMENT:+0.997","이 정책은 이주민, 장애 시민, 지역 주민을 동등한 존엄성으로 대하고 모두가 공유하는 환경을 보호해야 합니다.",0.9985524415969849,0.9988446235656738,0.8954386115074158,0.9989937543869019,0.9931520223617554,0.9966863393783569,0.9987900853157043,0.9989326000213623,0.9986646771430969,0.9977774024009705
self_direction,en,SELF-DIRECTION,support,0.9983104467391968,SELF-DIRECTION,0.9983104467391968,"SELF-DIRECTION:+0.998, POWER:+0.969, UNIVERSALISM:+0.268","STIMULATION:-0.010, TRADITION:-0.008, HEDONISM:-0.006",Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.,0.0008946096058934927,0.2675946354866028,0.9983104467391968,-0.009966859593987465,-0.006029933225363493,0.20864127576351166,0.9687851667404175,0.09650545567274094,-0.003619740717113018,-0.008275522850453854
self_direction,ko,SELF-DIRECTION,support,0.9988994598388672,SELF-DIRECTION,0.9988994598388672,"SELF-DIRECTION:+0.999, UNIVERSALISM:+0.998, ACHIEVEMENT:+0.998","TRADITION:-0.006, BENEVOLENCE:-0.001, HEDONISM:+0.104",각 동네가 하나의 중앙 계획을 강요받기보다 스스로 해법을 설계할 수 있어야 합니다.,-0.000663280370645225,0.9981849193572998,0.9988994598388672,0.9787752032279968,0.10353048890829086,0.9976722598075867,0.9975494742393494,0.9958446621894836,0.8137744665145874,-0.0058355312794446945
stimulation,en,STIMULATION,support,0.994242250919342,SELF-DIRECTION,0.9986438751220703,"SELF-DIRECTION:+0.999, ACHIEVEMENT:+0.998, POWER:+0.997","CONFORMITY:-0.014, HEDONISM:+0.013, BENEVOLENCE:+0.033",We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.,0.03305389732122421,0.987838864326477,0.9986438751220703,0.994242250919342,0.012714246287941933,0.9975491762161255,0.996997594833374,0.3186900019645691,-0.013576612807810307,0.3137238323688507
stimulation,ko,STIMULATION,support,-0.11807261407375336,SELF-DIRECTION,0.6238816976547241,"SELF-DIRECTION:+0.624, BENEVOLENCE:-0.006, CONFORMITY:-0.008","ACHIEVEMENT:-0.150, STIMULATION:-0.118, POWER:-0.035",현재 절차는 너무 예측 가능해서 새로운 기회를 드러내지 못하니 과감한 시범 사업을 실험해야 합니다.,-0.005886508151888847,-0.009680873714387417,0.6238816976547241,-0.11807261407375336,-0.01813482493162155,-0.15007102489471436,-0.034739598631858826,-0.01798385940492153,-0.008173163048923016,-0.0084718968719244
hedonism,en,HEDONISM,support,0.9988259077072144,HEDONISM,0.9988259077072144,"HEDONISM:+0.999, STIMULATION:+0.999, UNIVERSALISM:+0.998","SELF-DIRECTION:-0.389, TRADITION:+0.980, CONFORMITY:+0.985","The public space should also be enjoyable, with music, food, and places where people can relax after work.",0.9946132898330688,0.9980932474136353,-0.38854706287384033,0.9986039400100708,0.9988259077072144,0.9975165128707886,0.996797502040863,0.9961063265800476,0.9846877455711365,0.9801620244979858
hedonism,ko,HEDONISM,support,0.9986934065818787,STIMULATION,0.9987372159957886,"STIMULATION:+0.999, HEDONISM:+0.999, UNIVERSALISM:+0.999","SELF-DIRECTION:+0.945, TRADITION:+0.995, ACHIEVEMENT:+0.995",공공 공간은 퇴근 후 사람들이 쉬고 음악과 음식을 즐길 수 있는 즐거운 장소이기도 해야 합니다.,0.9964835047721863,0.9986149668693542,0.9445405602455139,0.9987372159957886,0.9986934065818787,0.9950401186943054,0.9983955025672913,0.9979351758956909,0.9970049262046814,0.9945068955421448
achievement,en,ACHIEVEMENT,support,0.9986730217933655,ACHIEVEMENT,0.9986730217933655,"ACHIEVEMENT:+0.999, SELF-DIRECTION:+0.998, STIMULATION:+0.998","TRADITION:+0.953, CONFORMITY:+0.988, HEDONISM:+0.990",The project should set measurable targets and reward the teams that deliver the strongest results.,0.9972854256629944,0.9956747889518738,0.997718870639801,0.9977043867111206,0.9897986650466919,0.9986730217933655,0.9954478144645691,0.9971093535423279,0.987937331199646,0.9532735347747803
