unit_id,speaker,time,korean_text,english_text,x,y,cluster_id,cluster_label,max_active_strength,active_value_summary,top_signed_support,top_signed_constraint
row004_claim01,정의당,00:50,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, the extinction of local areas is now threatening the very basis of the Republic of Korea’s existence.",0.002156895002976588,-0.6782157582398056,3,자원투입 논쟁,0.624255305635848,Universalism: Nature -0.62; Security: Societal -0.26,Face:-0.000; Humility:-0.000; Conformity: interpersonal:-0.000; Benevolence: dependability:-0.000; Hedonism:-0.000,Universalism: nature:0.624; Security: societal:0.263; Universalism: concern:0.004; Power: resources:0.002; Security: personal:0.002
row004_claim02,정의당,00:50,정부는 초강력 행정통합을 해답으로 내놓고 있지만 우리는 본질적인 질문을 던져야 합니다.,"The government is putting forward a super-strong administrative integration as the answer, but we must ask the fundamental question.",0.05240829237903924,0.15522372962816197,2,수도이전 추진,0.2877190363312475,Security: Societal +0.29,Security: societal:0.288; Self-direction: thought:0.161; Stimulation:0.124; Power: dominance:0.069; Self-direction: action:0.058,Universalism: nature:-0.000; Security: personal:-0.000; Hedonism:-0.001; Humility:-0.001; Benevolence: caring:-0.001
row004_claim03,정의당,00:50,행정구역만 합친다고 지방이 정말 잘 살 만한 곳으로 바뀔까요?,"If we only merge the administrative districts, will the provinces really become places where people can live well?",-0.6540321497260398,0.12054875428309605,1,개혁실행 공감,0.6738898686233097,Universalism: Concern +0.67,Universalism: concern:0.674; Security: societal:0.037; Achievement:0.026; Power: dominance:0.008; Power: resources:0.006,Hedonism:-0.000; Conformity: interpersonal:-0.000; Tradition:-0.000; Humility:-0.000; Universalism: nature:-0.000
row004_claim04,정의당,00:50,지방을 살리기 위해서는 다음의 조건이 필수적입니다.,"To revitalize local regions, the following conditions are essential.",0.4275632119988626,0.5793412679213791,1,개혁실행 공감,0.7661632067176283,Stimulation +0.77,Stimulation:0.766; Self-direction: action:0.069; Security: societal:0.057; Self-direction: thought:0.023; Benevolence: caring:0.017,Face:-0.000; Humility:-0.000; Security: personal:-0.000; Power: dominance:-0.000; Universalism: tolerance:-0.001
row004_claim05,정의당,00:50,"첫째, 국가가 지역 간 격차를 줄이는 컨트롤타워 역할을 끝까지 수행해야 합니다.","First, the state must carry out its role as the control tower for reducing disparities among regions to the very end.",-0.8730350153144787,0.16793023958886727,1,개혁실행 공감,0.8844323280392299,Universalism: Concern +0.88,Universalism: concern:0.884; Power: dominance:0.024; Universalism: tolerance:0.019; Self-direction: action:0.017; Conformity: rules:0.009,Hedonism:-0.000; Security: personal:-0.000; Universalism: nature:-0.000; Tradition:-0.000; Power: resources:-0.000
row004_claim07,정의당,00:50,"둘째, 지역의 부가 수도권으로 유출되는 구조를 바꿔야 합니다.","Second, we need to change the structure in which local wealth flows out to the metropolitan area.",0.7788441556619426,0.11735291082195606,3,자원투입 논쟁,0.8095312059618001,Power: Resources +0.81,Power: resources:0.810; Stimulation:0.051; Self-direction: action:0.030; Security: societal:0.017; Self-direction: thought:0.004,Humility:-0.000; Hedonism:-0.000; Universalism: tolerance:-0.000; Security: personal:-0.000; Tradition:-0.000
row004_claim09,정의당,00:50,"셋째, 실질적 자치를 뒷받침하는 연방제 수준의 재정 입법권 이양과 읍면동 단위까지 주민 결정권을 보장하는 헌법 개정이 반드시 필요합니다.","Third, a constitutional amendment is absolutely necessary to transfer fiscal and legislative powers at the level of a federal system that supports substantive autonomy, and to guarantee residents’ decision-making rights down to the eup, myeon, and dong levels.",-0.18786638595480942,0.4739291094846539,1,개혁실행 공감,0.6686331906404557,Self-direction: Action +0.67,Self-direction: action:0.669; Conformity: rules:0.077; Universalism: concern:0.024; Power: dominance:0.023; Self-direction: thought:0.022,Face:-0.000; Hedonism:-0.000; Humility:-0.000; Achievement:-0.000; Universalism: nature:-0.000
row004_claim11,정의당,00:50,"노동권과 환경권, 의료, 공공성 같은 국민의 기본권은 전국 어디서나 차별 없이 균등하게 보장되어야 합니다.","Basic rights of the people, such as labor rights, environmental rights, healthcare, and the public character of services, must be equally guaranteed without discrimination anywhere in the country.",-0.9610555497643717,0.16899218076317793,1,개혁실행 공감,0.963931810677367,Universalism: Concern +0.96,Universalism: concern:0.964; Benevolence: caring:0.016; Security: personal:0.006; Conformity: rules:0.006; Universalism: tolerance:0.004,Hedonism:-0.000; Humility:-0.000; Face:-0.000; Conformity: interpersonal:-0.000; Tradition:-0.000
row005_claim01,정의당,02:03,"마지막으로 모든 통합 과정은 주민 투표를 통한 민주적 수기 절차를 반드시 거쳐야 합니다.
지금 진행되고 있는 행정통합은 사실상 지역의 민주주의를 위배하고 있는 것입니다.","Finally, all integration processes must обязательно go through a democratic handwritten procedure through a resident referendum.
The administrative integration currently underway is, in fact, violating local democracy.",0.30334247146767324,-0.13725388611534955,3,자원투입 논쟁,0.2820950968914104,Conformity: Rules -0.28,Power: resources:-0.000; Universalism: nature:-0.000; Hedonism:-0.000; Humility:-0.000; Face:-0.000,Conformity: rules:0.282; Universalism: concern:0.160; Security: societal:0.003; Benevolence: caring:0.003; Conformity: interpersonal:0.002
row007_claim02,민주당,02:25,아 이와 같은 현상은 지역에는 소멸의 공포를 가져오고 수도권에는 과일의 고통을 가중시키고 있습니다.,"Ah, such a phenomenon brings the fear of extinction to the regions and intensifies the pain of the metropolitan area.",0.12104566174139188,-0.4174853238600696,3,자원투입 논쟁,0.4148779896134948,Universalism: Nature -0.41; Security: Societal -0.23,Face:-0.000; Humility:-0.000; Conformity: interpersonal:-0.000; Self-direction: thought:-0.000; Benevolence: dependability:-0.000,Universalism: nature:0.415; Security: societal:0.226; Universalism: concern:0.008; Hedonism:0.003; Stimulation:0.003
